Generation,ID,fitness,max Fitness,mean fitness,,,,,,,
1,1,52.1,0,0,,,,,,,
,,,,,,,,,,,
1,2,193.5,0,0,,,,,,,
,,,,,,,1,0,0,193.5,55.34
1,3,37.1,0,0,,,2,0,0,471.8,105.2
,,,,,,,3,0,0,322.5,154.56
1,4,51,0,0,,,4,0,0,426,172.04
,,,,,,,5,0,0,251.8,83.96
1,5,52.7,0,0,,,6,0,0,592.2,171.93
,,,,,,,7,0,0,447.4,209.06
1,6,46.2,0,0,,,8,0,0,513.9,355.29
,,,,,,,9,0,0,445.9,156.69
1,7,54.8,0,0,,,10,0,0,476.3,166.61
,,,,,,,11,0,0,622.7,335.07
1,8,0.3,0,0,,,12,0,0,518.6,324.55
,,,,,,,13,0,0,592.9,336.32
1,9,0,0,0,,,14,0,0,443.9,268.4
,,,,,,,15,0,0,566.5,381.04
1,10,65.7,0,0,,,16,0,0,663.3,438.38
,,,,,,,17,0,0,683,317.49
0,0,0,193.5,55.34,,,18,0,0,457.7,310.33
,,,,,,,19,0,0,670.9,491.27
2,2,191.9,0,0,,,20,0,0,692.1,395.43
,,,,,,,21,0,0,696.8,372.02
2,10,47.6,0,0,,,22,0,0,733.8,441.41
,,,,,,,23,0,0,721.3,446.06
2,11,32,0,0,,,24,0,0,723.5,441.1
,,,,,,,25,0,0,672,456.67
2,12,55.5,0,0,,,26,0,0,783.5,386.11
,,,,,,,27,0,0,634.6,352.65
2,13,132,0,0,,,28,0,0,686.5,448.65
,,,,,,,29,0,0,742.5,489.22
2,14,59.8,0,0,,,30,0,0,665.5,408.66
,,,,,,,32,0,0,681.5,475.54
2,15,39.3,0,0,,,32,0,0,674.6,429.18
,,,,,,,33,0,0,704.4,388.54
2,16,0,0,0,,,34,0,0,683.4,433.92
,,,,,,,35,0,0,1140.5,523.11
2,17,22.1,0,0,,,36,0,0,694.7,305.64
,,,,,,,37,0,0,613.3,419.57
2,18,471.8,0,0,,,38,0,0,700.4,456.86
,,,,,,,39,0,0,1223.7,454.2
0,0,0,471.8,105.2,,,40,0,0,1152.7,457.51
,,,,,,,,,,,
3,18,322.5,0,0,,,,,,,
,,,,,,,,,,,
3,2,203.5,0,0,,,,,,,
,,,,,,,,,,,
3,19,251.8,0,0,,,,,,,
,,,,,,,,,,,
3,20,0,0,0,,,,,,,
,,,,,,,,,,,
3,21,47.6,0,0,,,,,,,
,,,,,,,,,,,
3,22,181.5,0,0,,,,,,,
,,,,,,,,,,,
3,23,254.2,0,0,,,,,,,
,,,,,,,,,,,
3,24,38.1,0,0,,,,,,,
,,,,,,,,,,,
3,25,89.4,0,0,,,,,,,
,,,,,,,,,,,
3,26,157,0,0,,,,,,,
,,,,,,,,,,,
